PolicyID,ClientID,PolicyType,StartDate,EndDate,Premium,CoverageAmount
2057,1007,Life,2018-07-26,2023-05-10,4781.79,134655.52
2058,1085,Auto,2023-06-04,2026-02-27,1447.77,40769.3
2059,1146,Health,2019-09-07,2022-01-15,1774.14,49959.9
2060,1067,Home,2019-04-18,2024-01-02,1238.83,34885.53
2061,1042,Life,2019-02-18,2021-04-11,2182.23,61451.74
2062,1118,Auto,2020-08-30,2023-07-21,4613.48,129915.9
2063,1125,Auto,2020-11-20,2024-10-11,3260.5,91815.89
2064,1167,Health,2020-03-16,2023-07-31,1467.82,41333.91
2065,1169,Life,2018-06-09,2019-09-13,5303.63,149350.56
2066,1024,Home,2018-04-29,2023-01-14,5313.62,149631.88
2067,1188,Health,2023-01-30,2027-02-01,5262.3,148186.71
2068,1046,Home,2019-03-16,2022-12-10,1661.14,46777.81
2069,1019,Auto,2018-06-05,2022-08-27,2872.06,80877.4
2070,1068,Home,2021-07-04,2026-01-21,5914.44,166551.01
2071,1102,Home,2019-02-01,2024-01-01,4700.47,132365.54
2072,1042,Health,2020-12-05,2023-12-31,454.85,12808.61
2073,1032,Home,2019-09-25,2022-03-26,671.67,18914.27
2074,1167,Health,2020-02-15,2023-03-24,2944.41,82914.78
2075,1109,Auto,2018-11-09,2020-03-21,5482.56,154389.25
2076,1036,Health,2021-04-20,2022-10-31,3370.6,94916.31
2077,1097,Health,2019-08-18,2021-08-06,3137.53,88353.05
2078,1164,Life,2022-01-15,2025-01-16,901.2,25377.85
2079,1131,Home,2019-02-06,2023-04-19,4043.65,113869.45
2080,1073,Auto,2022-07-05,2024-04-28,4985.99,140405.8
2081,1136,Health,2020-10-10,2025-08-19,2468.39,69510.02
2082,1097,Auto,2019-06-12,2021-08-22,4720.99,132943.38
2083,1123,Life,2022-05-11,2024-02-08,5797.52,163258.54
2084,1070,Home,2020-06-12,2023-04-17,1461.47,41155.09
2085,1169,Health,2020-10-02,2025-04-14,3282.98,92448.93
2086,1196,Home,2018-05-04,2022-10-07,1936.69,54537.32
2087,1013,Life,2018-11-09,2022-03-07,4819.27,135710.96
2088,1049,Life,2019-12-04,2021-07-28,3592.28,101158.84
2089,1060,Auto,2019-06-28,2023-11-29,3917.12,110306.35
2090,1130,Health,2021-01-26,2025-10-27,4848.11,136523.09
2091,1188,Auto,2021-09-07,2023-12-07,2557.03,72006.13
2092,1005,Life,2018-07-12,2023-02-08,5516.01,155331.2
2093,1172,Home,2022-12-12,2027-11-21,3338.26,94005.62
2094,1027,Auto,2022-09-15,2027-07-30,1200.34,33801.65
2095,1160,Auto,2023-05-02,2025-03-06,4266.62,120148.3
2096,1149,Home,2021-05-27,2025-10-22,4821.59,135776.29
2097,1008,Auto,2021-03-04,2026-01-29,2105.54,59292.14
2098,1200,Home,2021-09-12,2024-07-20,5185.92,146035.84
2099,1050,Health,2021-01-24,2025-10-09,5465.02,153895.32
2100,1067,Home,2020-05-27,2022-11-13,1878.36,52894.74
2101,1044,Health,2018-11-08,2020-12-23,5906.07,166315.31
2102,1125,Home,2022-05-17,2025-01-15,1102.06,31034.08
2103,1058,Life,2019-11-03,2023-11-20,1451.49,40874.05
2104,1003,Life,2019-02-26,2021-03-28,1350.08,38018.34
2105,1086,Health,2022-07-10,2026-01-01,5395.74,151944.39
2106,1070,Health,2022-02-28,2024-09-16,4029.47,113470.14
2107,1130,Life,2019-07-29,2021-12-13,1166.99,32862.51
2108,1172,Health,2018-03-20,2019-04-02,2809.84,79125.28
2109,1002,Home,2023-02-05,2025-12-14,3807.2,107211.0
2110,1102,Home,2020-05-19,2023-11-30,775.75,21845.17
2111,1035,Life,2018-02-06,2020-06-06,5329.77,150086.67
2112,1098,Auto,2019-03-01,2023-07-31,4880.54,137436.32
2113,1030,Home,2021-10-31,2023-09-25,3179.68,89539.99
2114,1116,Health,2019-08-23,2022-12-21,5812.62,163683.76
2115,1008,Auto,2023-06-20,2026-04-28,2681.24,75503.89
2116,1150,Auto,2021-01-03,2024-04-30,5909.43,166409.93
2117,1044,Home,2019-07-01,2024-04-29,4107.14,115657.33
2118,1186,Home,2020-05-09,2023-09-12,3917.63,110320.71
2119,1036,Auto,2021-04-01,2026-02-23,1245.94,35085.75
2120,1197,Auto,2020-08-23,2021-12-06,5326.99,150008.38
2121,1077,Life,2021-02-26,2022-06-13,2736.69,77065.37
2122,1031,Health,2022-12-29,2027-01-11,1224.73,34488.48
2123,1047,Life,2019-04-11,2020-06-12,371.86,10471.6
2124,1055,Home,2019-01-31,2022-05-15,3490.61,98295.8
2125,1106,Life,2019-12-28,2022-06-11,3306.18,93102.24
2126,1190,Life,2018-04-29,2022-06-08,4400.32,123913.3
2127,1158,Life,2018-12-11,2021-12-09,5374.47,151345.42
2128,1121,Life,2019-11-03,2022-06-18,752.62,21193.83
2129,1055,Health,2022-05-23,2025-04-29,4469.53,125862.25
2130,1144,Health,2019-08-08,2024-03-12,1368.25,38530.01
2131,1012,Auto,2018-09-09,2019-09-24,5191.61,146196.07
2132,1145,Home,2019-10-05,2024-05-19,4968.66,139917.79
2133,1144,Life,2020-01-13,2023-01-31,3382.52,95251.98
2134,1140,Auto,2019-11-01,2024-07-07,4348.38,122450.66
2135,1136,Auto,2021-06-30,2025-07-16,2091.8,58905.22
2136,1003,Auto,2021-07-23,2024-02-09,2985.66,84076.38
2137,1144,Health,2018-03-16,2022-01-17,4983.33,140330.9
2138,1030,Life,2018-09-17,2022-02-13,2917.81,82165.72
2139,1023,Life,2020-08-29,2023-10-31,2339.45,65879.06
2140,1092,Home,2018-05-09,2020-10-05,3117.01,87775.2
2141,1115,Life,2023-06-14,2026-05-23,5021.02,141392.25
2142,1104,Life,2018-05-15,2021-10-24,2210.69,62253.17
2143,1118,Auto,2021-12-06,2026-10-06,1290.44,36338.87
2144,1005,Home,2019-06-15,2020-06-28,4358.48,122735.08
2145,1104,Life,2020-06-02,2023-09-05,5008.08,141027.86
2146,1108,Health,2019-04-25,2022-07-24,873.63,24601.48
2147,1065,Life,2018-10-28,2023-09-29,1667.28,46950.71
2148,1121,Auto,2021-01-19,2022-11-16,1109.24,31236.27
2149,1030,Health,2019-04-04,2020-11-03,2283.27,64297.03
2150,1149,Auto,2018-07-11,2020-10-20,2867.0,80734.91
2151,1084,Life,2022-06-10,2027-04-27,4568.31,128643.91
2152,1198,Health,2019-07-29,2023-11-07,4011.54,112965.23
2153,1150,Home,2018-10-24,2021-11-17,3839.29,108114.66
2154,1200,Home,2020-10-27,2024-04-10,2308.54,65008.64
2155,1032,Health,2020-04-26,2023-03-07,5096.25,143510.73
2156,1161,Health,2020-08-19,2022-02-12,2986.34,84095.53
2157,1016,Auto,2023-04-10,2024-04-09,5880.9,165606.53
2158,1038,Health,2019-03-19,2020-12-28,3914.61,110235.67
2159,1142,Auto,2018-12-06,2020-12-27,1019.71,28715.1
2160,1036,Life,2018-04-06,2020-06-28,4154.21,116982.82
2161,1151,Auto,2022-12-10,2024-10-24,2153.09,60631.15
2162,1114,Health,2022-04-12,2026-05-12,4212.07,118612.16
2163,1066,Health,2022-07-25,2024-03-09,696.95,19626.16
2164,1105,Life,2023-03-28,2025-03-03,1296.82,36518.54
2165,1085,Health,2021-01-18,2025-03-07,5177.7,145804.37
2166,1002,Health,2018-11-30,2023-10-30,1594.92,44913.05
2167,1193,Home,2021-12-28,2026-11-19,5071.13,142803.35
2168,1075,Home,2020-12-28,2022-03-09,1891.87,53275.18
2169,1067,Life,2021-07-21,2026-01-25,3964.43,111638.61
2170,1180,Auto,2018-10-03,2023-02-03,4256.66,119867.82
2171,1190,Home,2018-01-26,2022-06-21,3222.13,90735.39
2172,1151,Auto,2020-08-17,2023-06-06,2040.27,57454.14
2173,1154,Health,2022-03-21,2026-01-26,1512.07,42579.99
2174,1196,Home,2020-10-30,2022-09-07,489.18,13775.34
2175,1055,Life,2020-10-22,2024-10-19,2032.49,57235.05
2176,1006,Life,2019-07-20,2020-12-01,4023.03,113288.79
2177,1163,Life,2023-04-03,2027-01-30,5648.34,159057.62
2178,1150,Home,2019-09-21,2023-09-07,5265.87,148287.24
2179,1171,Auto,2022-06-28,2023-11-12,4666.57,131410.91
2180,1143,Health,2022-03-11,2024-07-04,4794.15,135003.57
2181,1086,Auto,2021-07-07,2024-01-22,4090.41,115186.21
2182,1060,Auto,2022-08-04,2024-06-02,1783.64,50227.42
2183,1101,Health,2019-01-14,2022-09-17,5471.01,154064.0
2184,1012,Health,2019-03-25,2021-11-23,4123.17,116108.73
2185,1049,Home,2019-12-03,2024-01-08,3494.51,98405.63
2186,1042,Home,2021-04-26,2023-01-23,932.64,26263.2
2187,1166,Home,2018-10-04,2020-10-01,2848.22,80206.06
2188,1082,Home,2019-08-19,2020-10-12,2924.04,82341.16
2189,1173,Home,2023-01-10,2025-04-17,5228.01,147221.1
2190,1035,Health,2023-05-19,2028-05-13,3415.89,96191.68
2191,1158,Auto,2020-07-03,2023-11-23,2468.28,69506.92
2192,1158,Home,2021-06-10,2025-03-20,5867.76,165236.5
2193,1134,Home,2020-05-26,2023-04-01,931.11,26220.12
2194,1067,Auto,2019-01-30,2022-06-27,2708.53,76272.38
2195,1080,Home,2020-09-29,2024-01-26,539.54,15193.48
2196,1007,Auto,2019-06-20,2024-01-04,4517.45,127211.68
2197,1180,Auto,2021-05-10,2023-01-31,5533.04,155810.77
2198,1014,Health,2018-07-16,2023-03-11,1896.21,53397.4
2199,1073,Life,2020-08-14,2025-02-12,5192.55,146222.54
2200,1143,Health,2023-01-03,2024-03-27,1965.64,55352.55
2201,1149,Life,2021-02-03,2025-08-19,5491.39,154637.9
2202,1163,Life,2020-08-25,2025-01-14,4597.58,129468.15
2203,1066,Life,2021-05-19,2022-06-29,4887.97,137645.55
2204,1091,Home,2022-07-21,2024-03-12,402.64,11338.37
2205,1130,Health,2023-05-24,2027-12-07,5788.02,162991.02
2206,1163,Life,2021-04-24,2023-06-15,4442.02,125087.57
2207,1020,Auto,2018-12-13,2020-09-03,2037.08,57364.3
2208,1010,Home,2023-03-27,2026-01-31,5027.55,141576.13
2209,1025,Health,2020-02-18,2021-08-29,1904.67,53635.63
2210,1194,Life,2021-06-05,2023-08-29,5274.7,148535.89
2211,1025,Auto,2020-08-15,2023-02-21,941.71,26518.61
2212,1054,Health,2019-03-29,2020-04-16,4311.01,121398.32
2213,1033,Health,2019-03-02,2020-04-22,3381.98,95236.78
2214,1164,Home,2022-02-06,2023-10-17,850.25,23943.1
2215,1095,Health,2018-08-15,2021-04-10,1678.79,47274.84
2216,1014,Home,2021-12-08,2024-05-20,370.7,10438.94
2217,1065,Life,2021-11-25,2026-11-04,2971.98,83691.15
2218,1110,Home,2022-07-31,2027-01-06,2017.21,56804.76
2219,1080,Auto,2020-11-11,2023-04-21,3710.64,104491.86
2220,1054,Home,2018-04-18,2023-01-31,1994.26,56158.49
2221,1125,Auto,2021-04-20,2025-06-26,2009.54,56588.78
2222,1180,Home,2022-06-28,2024-08-11,4536.2,127739.69
2223,1131,Health,2022-10-22,2025-05-14,574.41,16175.42
2224,1169,Life,2020-02-06,2023-04-11,5446.5,153373.79
2225,1134,Auto,2019-03-22,2021-02-11,5157.9,145246.8
2226,1025,Home,2020-12-21,2022-02-14,4106.49,115639.02
2227,1141,Home,2020-01-09,2021-08-13,3681.36,103667.34
2228,1117,Home,2023-01-08,2024-03-16,5386.12,151673.49
2229,1136,Health,2021-04-21,2024-07-02,1356.38,38195.75
2230,1149,Health,2022-04-18,2026-10-23,750.12,21123.43
2231,1196,Auto,2019-07-18,2023-07-11,1665.21,46892.42
2232,1025,Auto,2018-04-22,2021-02-28,4829.1,135987.77
2233,1079,Health,2023-02-10,2026-11-07,497.62,14013.01
2234,1068,Auto,2022-12-22,2024-03-15,3622.0,101995.75
2235,1173,Life,2018-03-05,2020-01-10,5973.99,168227.95
2236,1188,Life,2019-05-18,2023-09-24,5177.47,145797.89
2237,1012,Health,2021-01-23,2025-11-20,3272.24,92146.49
2238,1032,Auto,2021-01-12,2026-01-08,662.75,18663.08
2239,1128,Home,2019-10-01,2024-01-14,5038.83,141893.78
2240,1096,Life,2018-09-21,2022-07-25,3714.18,104591.55
2241,1092,Health,2019-05-23,2023-02-13,955.12,26896.24
2242,1141,Auto,2020-01-11,2024-02-09,834.99,23513.37
2243,1031,Health,2020-08-22,2024-04-16,5484.87,154454.29
2244,1078,Home,2020-06-11,2024-04-09,4114.44,115862.9
2245,1020,Life,2019-07-06,2024-01-14,5026.93,141558.67
2246,1146,Health,2020-04-16,2024-03-26,5310.18,149535.01
2247,1060,Health,2018-03-20,2019-10-31,3559.1,100224.49
2248,1191,Health,2023-02-16,2025-03-14,3249.44,91504.44
2249,1134,Home,2018-01-05,2022-05-23,2753.44,77537.05
2250,1160,Health,2018-06-25,2019-11-01,2106.6,59321.99
2251,1093,Home,2022-08-19,2025-09-28,2777.2,78206.13
2252,1043,Home,2021-03-01,2023-03-10,4711.11,132665.16
2253,1130,Home,2020-11-10,2025-05-18,3730.96,105064.08
2254,1060,Life,2022-01-19,2025-12-08,5387.38,151708.97
2255,1151,Life,2019-08-09,2021-02-15,2827.27,79616.11
2256,1031,Health,2018-07-10,2020-12-14,3760.41,105893.39
2257,1005,Health,2021-07-27,2022-08-27,3898.45,109780.6
2258,1162,Life,2018-02-24,2021-04-12,3672.67,103422.63
2259,1010,Auto,2020-11-24,2023-12-17,4305.01,121229.36
2260,1089,Life,2020-08-27,2021-11-23,1653.37,46559.01
2261,1130,Home,2018-01-05,2019-02-01,3220.47,90688.64
2262,1126,Life,2021-03-24,2022-07-27,894.08,25177.35
2263,1011,Home,2023-05-22,2024-12-08,2491.71,70166.72
2264,1178,Health,2021-05-13,2024-06-27,3079.7,86724.55
2265,1159,Auto,2018-04-19,2020-08-31,4017.68,113138.13
2266,1056,Health,2023-06-15,2027-10-04,5718.03,161020.1
2267,1083,Home,2022-03-14,2024-09-25,3723.71,104859.92
2268,1137,Home,2018-08-18,2019-12-15,4538.49,127804.17
2269,1099,Home,2018-06-10,2020-02-09,3185.72,89710.08
2270,1149,Auto,2022-07-23,2023-08-15,3914.39,110229.48
2271,1073,Life,2020-08-04,2023-01-31,704.31,19833.42
2272,1156,Health,2021-05-06,2024-04-13,1750.03,49280.96
2273,1190,Health,2021-09-15,2023-05-04,2362.56,66529.84
2274,1115,Life,2019-08-14,2022-07-28,2993.21,84288.99
2275,1007,Health,2021-05-30,2026-05-05,560.2,15775.27
2276,1080,Auto,2023-03-10,2027-03-04,1098.14,30923.69
2277,1144,Health,2022-01-20,2023-06-15,1877.84,52880.1
2278,1097,Home,2021-07-17,2024-02-14,5837.74,164391.14
2279,1004,Life,2018-03-30,2021-05-31,2188.68,61633.37
2280,1004,Auto,2020-05-27,2021-10-25,3047.63,85821.46
2281,1103,Life,2021-07-31,2024-02-06,1417.76,39924.21
2282,1040,Auto,2020-04-09,2021-04-12,3781.45,106485.88
2283,1017,Home,2020-08-06,2025-02-16,1899.89,53501.03
2284,1101,Life,2018-03-24,2020-02-03,1479.86,41672.95
2285,1103,Health,2018-12-16,2022-09-11,3244.46,91364.2
2286,1124,Auto,2021-06-04,2025-06-17,331.38,9331.68
2287,1052,Life,2021-08-06,2023-06-20,343.68,9678.05
2288,1052,Health,2018-01-27,2020-05-18,1548.69,43611.21
2289,1164,Life,2022-12-15,2026-07-04,509.31,14342.2
2290,1124,Life,2018-03-25,2020-03-16,915.75,25787.58
2291,1166,Life,2022-08-06,2025-05-14,2231.51,62839.47
2292,1178,Auto,2020-03-11,2024-04-29,4874.74,137272.99
2293,1063,Health,2021-04-29,2025-08-14,3560.68,100268.98
2294,1116,Home,2021-07-20,2024-03-03,3222.21,90737.64
2295,1191,Auto,2022-03-10,2024-08-08,1972.89,55556.71
2296,1062,Auto,2020-08-07,2021-11-27,5611.0,158006.12
2297,1007,Auto,2021-05-21,2025-06-03,2562.99,72173.96
2298,1155,Home,2022-08-27,2025-01-27,796.43,22427.52
2299,1092,Health,2018-10-14,2019-12-07,3817.28,107494.85
2300,1014,Health,2022-06-12,2026-01-30,948.88,26720.52
2301,1199,Health,2020-06-11,2023-08-12,2267.77,63860.55
2302,1086,Life,2022-06-25,2026-11-12,3192.25,89893.97
2303,1133,Life,2022-11-22,2026-06-03,5283.07,148771.59
2304,1183,Life,2018-07-16,2022-10-24,3113.22,87668.48
2305,1130,Home,2020-12-19,2023-04-03,4302.87,121169.1
2306,1062,Life,2020-04-24,2024-04-21,5959.06,167807.52
2307,1149,Home,2021-06-27,2022-10-15,1049.49,29553.71
2308,1079,Health,2022-08-05,2025-07-13,1865.97,52545.84
2309,1149,Life,2020-10-24,2024-01-15,2549.08,71782.26
2310,1138,Life,2022-10-25,2027-10-11,2704.42,76156.64
2311,1058,Auto,2018-06-07,2021-05-19,2642.82,74421.98
2312,1120,Home,2019-11-13,2021-07-05,5473.38,154130.74
2313,1167,Health,2019-03-21,2022-01-17,4369.99,123059.2
2314,1133,Auto,2019-01-02,2023-11-14,3765.06,106024.33
2315,1065,Auto,2018-06-17,2019-09-04,2063.42,58106.04
2316,1013,Health,2021-02-22,2024-10-11,4995.61,140676.7
2317,1181,Auto,2019-08-29,2020-12-16,5743.84,161746.91
2318,1082,Home,2022-06-02,2024-08-23,4980.83,140260.5
2319,1173,Home,2018-08-05,2019-09-22,308.92,8699.21
2320,1160,Life,2022-10-25,2026-12-09,3927.49,110598.37
2321,1164,Auto,2021-03-12,2024-05-11,591.47,16655.83
2322,1188,Life,2018-06-16,2021-06-28,1768.36,49797.13
2323,1139,Auto,2020-10-10,2023-07-14,639.29,18002.45
2324,1191,Home,2019-04-16,2020-06-28,3741.63,105364.54
2325,1149,Home,2023-03-18,2027-07-07,4213.56,118654.12
2326,1052,Home,2019-06-08,2022-02-23,952.58,26824.71
2327,1183,Auto,2022-04-10,2025-11-11,2487.88,70058.86
2328,1117,Home,2019-05-29,2023-12-16,2900.55,81679.68
2329,1026,Auto,2019-12-16,2021-07-06,2403.6,67685.53
2330,1196,Life,2018-12-01,2021-07-11,989.84,27873.96
2331,1034,Auto,2019-06-01,2021-06-24,2688.0,75694.25
2332,1052,Life,2023-06-07,2027-02-28,4581.71,129021.25
2333,1112,Auto,2021-01-16,2022-03-31,704.74,19845.52
2334,1082,Life,2019-08-07,2023-12-06,757.03,21318.01
2335,1180,Home,2022-11-30,2026-01-16,2322.2,65393.3
2336,1157,Life,2019-02-13,2021-03-24,5667.84,159606.74
2337,1166,Home,2020-07-07,2024-10-05,4110.86,115762.08
2338,1042,Home,2021-09-07,2025-10-13,4168.42,117382.98
2339,1021,Life,2021-07-10,2023-05-24,2362.94,66540.54
2340,1042,Auto,2019-04-24,2021-04-10,3683.87,103738.02
2341,1141,Auto,2021-03-08,2024-08-11,357.75,10074.26
2342,1113,Health,2022-09-23,2023-12-15,3925.75,110549.37
2343,1105,Auto,2020-06-27,2022-04-11,5505.74,155042.0
2344,1192,Health,2020-04-26,2021-11-08,3791.67,106773.67
2345,1017,Auto,2021-05-05,2024-09-01,5280.08,148687.4
2346,1120,Auto,2018-07-16,2022-12-27,4426.65,124654.75
2347,1137,Home,2020-04-04,2021-08-29,987.18,27799.05
2348,1169,Health,2018-12-28,2023-12-22,5443.98,153302.83
2349,1129,Auto,2023-05-27,2024-11-02,678.73,19113.08
2350,1130,Health,2018-01-16,2022-04-30,3343.61,94156.27
2351,1060,Home,2023-06-24,2027-09-17,1110.18,31262.74
2352,1048,Home,2022-07-22,2024-03-21,366.73,10327.14
2353,1029,Health,2018-10-25,2021-08-19,2705.6,76189.87
2354,1097,Home,2018-07-15,2021-01-29,1981.73,55805.65
2355,1010,Life,2022-08-26,2024-07-22,3070.2,86457.03
2356,1058,Life,2021-09-16,2023-04-19,3590.04,101095.76
2357,1188,Home,2021-06-02,2025-07-02,549.31,15468.61
2358,1021,Life,2018-05-02,2022-07-06,1001.12,28191.6
2359,1028,Auto,2022-03-28,2024-05-14,3484.26,98116.99
2360,1034,Health,2023-04-05,2025-09-09,2256.05,63530.51
2361,1008,Auto,2022-03-19,2023-10-30,4456.29,125489.42
2362,1187,Health,2021-03-18,2022-03-19,4018.06,113148.83
2363,1200,Home,2021-08-30,2025-06-17,5119.94,144177.84
2364,1177,Auto,2022-05-04,2025-04-25,4247.21,119601.71
2365,1079,Home,2019-04-06,2022-05-18,2750.61,77457.36
2366,1145,Home,2018-07-04,2020-04-08,4135.91,116467.49
2367,1188,Health,2020-03-06,2024-11-29,1869.67,52650.03
2368,1087,Health,2018-12-08,2023-10-26,2045.99,57615.21
2369,1088,Health,2022-01-07,2025-10-26,4797.22,135090.03
2370,1173,Auto,2019-01-30,2020-07-21,2844.59,80103.84
2371,1069,Life,2018-06-28,2020-10-28,4850.77,136598.0
2372,1160,Health,2020-09-28,2024-12-29,4987.81,140457.05
2373,1172,Health,2020-08-27,2022-09-21,5188.11,146097.51
2374,1193,Auto,2021-05-23,2024-12-16,5524.82,155579.29
2375,1087,Health,2022-01-12,2024-05-28,2756.62,77626.6
2376,1101,Auto,2023-02-21,2025-11-20,2117.54,59630.06
2377,1008,Home,2019-06-28,2024-02-16,3618.53,101898.04
2378,1077,Health,2018-05-12,2022-03-17,2415.68,68025.71
2379,1200,Health,2018-07-14,2023-02-23,3726.12,104927.78
2380,1087,Home,2018-01-24,2021-09-12,4321.84,121703.29
2381,1043,Home,2019-01-22,2021-03-11,4223.91,118945.58
2382,1129,Home,2022-08-10,2026-08-01,2434.95,68568.35
2383,1109,Health,2022-05-29,2024-07-19,1251.1,35231.06
2384,1179,Life,2022-08-01,2027-05-03,2754.02,77553.38
2385,1152,Life,2022-08-14,2026-09-27,1112.79,31336.24
2386,1152,Life,2020-02-26,2021-12-09,5373.55,151319.52
2387,1017,Health,2019-06-08,2024-03-01,2271.5,63965.59
2388,1133,Home,2018-11-25,2023-05-21,1180.42,33240.7
2389,1148,Health,2019-10-27,2021-10-03,445.05,12532.64
2390,1021,Home,2018-10-13,2020-07-12,3981.19,112110.57
2391,1058,Health,2022-08-30,2025-12-17,3930.34,110678.63
2392,1159,Health,2022-11-21,2026-03-21,2241.44,63119.1
2393,1110,Home,2023-05-20,2026-10-05,708.76,19958.73
2394,1139,Life,2020-06-07,2022-01-04,2634.88,74198.39
2395,1180,Home,2023-02-02,2026-05-12,2073.94,58402.28
2396,1143,Auto,2022-03-12,2023-11-05,4159.59,117134.32
2397,1135,Auto,2022-12-12,2025-04-13,3752.94,105683.03
2398,1028,Home,2021-09-19,2026-06-14,2378.18,66969.7
2399,1051,Health,2021-07-09,2024-04-18,1541.99,43422.54
2400,1186,Auto,2018-11-14,2022-10-06,5931.81,167040.15
